featureid	s69	s70	s71	s75	s76	s77
ENSG00000004799	0	0	0	0	0	0
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	122	48	66	73	30	50
ENSG00000004846	3	0	0	0	1	0
ENSG00000004848	10	1	2	9	4	5
ENSG00000004864	174	91	103	188	75	112
ENSG00000004866	418	205	219	478	220	258
ENSG00000004897	3385	1797	2146	3344	1534	2129
ENSG00000004939	5	1	1	1	2	3
ENSG00000004948	0	0	0	0	0	0
ENSG00000004961	777	396	435	771	334	509
ENSG00000004975	2172	1039	1189	2262	987	1539
ENSG00000005001	2	1	0	2	0	5
ENSG00000005007	7983	3753	4116	7164	3200	4603
ENSG00000005020	1	0	0	0	0	0
ENSG00000005022	9103	4587	5215	10972	4675	6944
ENSG00000005059	1247	585	714	987	447	693
ENSG00000005073	105	39	51	63	24	44
ENSG00000005075	1798	990	959	1744	774	1234
ENSG00000005100	2653	1307	1448	1624	652	1046
ENSG00000005102	0	0	1	2	0	0
ENSG00000005108	0	1	0	0	0	0
ENSG00000005156	2729	1314	1494	2186	940	1370
ENSG00000005175	1559	820	921	1707	673	944
ENSG00000005187	11	5	3	8	5	4
ENSG00000005189	8	0	3	3	0	6
ENSG00000005194	2521	1203	1344	2340	881	1415
ENSG00000005206	3095	1369	1520	2413	995	1435
ENSG00000005238	406	139	233	180	77	131
ENSG00000005243	63	31	36	45	25	34
ENSG00000005249	454	243	263	342	137	249
ENSG00000005302	998	493	511	1246	595	766
ENSG00000005339	2353	1035	1306	2807	1229	2084
ENSG00000005379	2490	1205	1425	9200	3704	5314
ENSG00000005381	4	2	3	7	5	2
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	737	367	511	811	335	504
ENSG00000005448	1060	472	564	1028	414	635
ENSG00000005469	311	153	186	228	108	139
ENSG00000005471	2	0	2	2	3	3
ENSG00000005483	2279	1163	1264	1887	874	1186
ENSG00000005486	1730	831	826	2179	930	1559
ENSG00000005513	69	38	45	78	38	72
ENSG00000005700	1269	644	760	1137	489	691
ENSG00000005801	941	480	575	1115	466	616
ENSG00000005810	3079	1461	1755	2396	897	1397
ENSG00000005812	812	448	467	795	359	569
ENSG00000005844	2162	1017	1303	1663	725	1103
ENSG00000005882	867	404	444	634	283	420
ENSG00000005884	575	262	316	544	213	354
ENSG00000005889	853	425	507	972	387	593
ENSG00000005893	1603	863	989	1563	696	1046
ENSG00000005961	15	8	10	25	7	10
ENSG00000005981	0	0	0	0	0	0
ENSG00000006007	2043	1074	1141	1448	641	944
ENSG00000006015	711	330	353	655	248	374
ENSG00000006016	133	73	75	158	76	67
ENSG00000006025	901	443	510	707	282	440
ENSG00000006042	609	291	360	716	279	439
ENSG00000006047	894	383	447	547	261	394
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	339	180	195	1220	553	803
ENSG00000006071	8	5	7	9	6	9
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	210	75	129	184	78	136
ENSG00000006125	9296	4679	5108	10589	4551	6844
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	1582	765	828	1695	694	988
ENSG00000006210	0	0	0	0	0	0
ENSG00000006282	529	239	253	472	211	287
ENSG00000006283	20	6	9	48	20	37
ENSG00000006327	66	22	37	314	140	183
ENSG00000006377	0	1	0	0	0	0
ENSG00000006432	724	314	367	553	249	371
ENSG00000006451	1167	608	703	1063	437	717
ENSG00000006453	2	3	3	3	0	1
ENSG00000006459	274	157	168	508	226	330
ENSG00000006468	64	30	38	136	54	129
ENSG00000006530	1171	531	585	1201	511	683
ENSG00000006534	21	9	7	15	5	9
ENSG00000006555	0	0	1	0	0	0
ENSG00000006576	698	327	410	837	390	580
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	1513	749	826	1378	587	812
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	1785	933	1122	1883	757	1005
ENSG00000006634	2015	1139	1298	2453	1141	1568
ENSG00000006638	0	0	0	0	0	0
ENSG00000006652	1362	706	751	1884	746	1095
ENSG00000006659	0	0	0	2	0	0
ENSG00000006695	699	366	411	1007	408	658
ENSG00000006704	936	457	518	757	289	450
ENSG00000006712	2696	1295	1522	2933	1260	1819
ENSG00000006715	1174	622	684	1275	483	758
ENSG00000006740	482	233	292	446	176	264
ENSG00000006744	4947	2378	2466	4315	1822	2662
ENSG00000006747	0	0	0	0	0	2
ENSG00000006756	0	0	0	0	0	0
ENSG00000006757	0	0	0	0	0	1
ENSG00000006788	0	0	1	1	0	3
ENSG00000006831	3221	1613	1752	4948	2090	3019
ENSG00000006837	39	24	18	38	12	27
ENSG00000007001	0	0	1	0	0	0
ENSG00000007038	0	0	0	1	0	0
ENSG00000007047	1238	534	660	1378	637	1038
ENSG00000007062	0	1	0	1	0	0
ENSG00000007080	2563	1222	1386	2510	1104	1667
ENSG00000007129	36	17	19	50	22	27
ENSG00000007168	5362	2831	3099	5494	2409	3439
ENSG00000007171	1	1	0	1	0	1
ENSG00000007174	0	2	1	2	0	0
ENSG00000007202	7378	3504	3819	6211	2644	3908
ENSG00000007216	0	0	0	0	0	0
ENSG00000007237	5887	2745	3329	4277	1896	3147
ENSG00000007255	179	94	115	214	86	150
ENSG00000007264	655	307	309	672	272	452
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	2	0	1	0	0	1
ENSG00000007314	2	0	0	2	0	0
ENSG00000007341	321	178	206	427	184	274
ENSG00000007350	55	26	28	33	14	17
ENSG00000007372	153	91	110	303	126	199
ENSG00000007376	1561	758	776	974	417	628
ENSG00000007384	17	7	9	20	4	9
ENSG00000007392	1795	930	998	2466	964	1355
ENSG00000007402	140	58	63	153	53	93
ENSG00000007516	59	20	33	155	58	74
ENSG00000007520	1541	643	798	1279	498	795
ENSG00000007541	1441	655	694	1267	570	944
ENSG00000007545	1540	784	837	1540	732	969
ENSG00000007866	143	62	52	226	124	181
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	3924	1812	2086	3661	1509	2207
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	87	34	55	96	53	75
ENSG00000007952	1	3	3	4	1	2
ENSG00000007968	3804	1892	2062	2560	1123	1715
ENSG00000008018	5359	2787	3078	6791	2679	3822
ENSG00000008056	148	67	74	185	63	98
ENSG00000008083	2741	1275	1547	4409	2028	3041
ENSG00000008086	135	59	68	155	69	110
ENSG00000008118	0	0	0	0	0	0
ENSG00000008128	1263	723	750	2032	767	1043
ENSG00000008130	2828	1348	1394	2362	1005	1502
ENSG00000008196	0	0	0	0	1	0
ENSG00000008197	4	0	0	2	1	2
ENSG00000008226	54	27	19	42	11	15
ENSG00000008256	855	405	431	651	299	411
ENSG00000008277	568	256	293	415	174	226
ENSG00000008282	2079	1149	1288	2009	980	1385
ENSG00000008283	4	1	2	3	2	2
ENSG00000008294	1767	999	985	2014	903	1284
ENSG00000008300	3796	1694	2037	2314	1004	1470
ENSG00000008311	293	151	176	221	106	143
ENSG00000008323	2	2	3	29	11	13
ENSG00000008324	546	316	284	621	238	331
ENSG00000008382	606	284	314	495	218	302
ENSG00000008394	0	0	0	0	0	0
ENSG00000008405	1030	502	587	1177	521	793
ENSG00000008438	2	1	1	2	0	1
ENSG00000008441	639	315	330	728	322	474
ENSG00000008513	710	356	428	1339	511	1058
ENSG00000008516	35	19	20	22	28	38
ENSG00000008517	2624	1300	1316	2490	1056	1713
ENSG00000008710	2405	1038	1201	1539	699	1103
ENSG00000008735	113	44	55	110	46	61
ENSG00000008838	3310	1582	1719	3411	1554	2262
ENSG00000008853	956	395	486	745	285	531
ENSG00000008869	573	282	359	467	212	282
ENSG00000008952	1597	954	1020	2403	1055	1504
ENSG00000008988	11316	5589	6259	13974	5220	7629
ENSG00000009307	17764	8973	10019	18791	8103	11533
ENSG00000009335	3128	1618	1841	3012	1310	1968
ENSG00000009413	931	507	465	582	280	326
ENSG00000009694	124	58	74	74	23	45
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	94	37	28	103	52	62
ENSG00000009765	0	0	0	1	0	0
ENSG00000009780	327	143	162	163	74	104
ENSG00000009790	2639	1270	1593	2086	837	1193
ENSG00000009830	774	355	410	678	246	405
ENSG00000009844	1722	949	1067	1870	913	1300
ENSG00000009950	9	5	1	18	8	5
ENSG00000009954	8527	4221	4849	7741	3140	4609
ENSG00000010017	2389	1224	1356	2875	1356	1901
ENSG00000010030	0	0	1	1	0	0
ENSG00000010072	597	303	325	621	274	389
ENSG00000010165	2324	1093	1206	1973	751	1157
ENSG00000010219	723	372	409	764	323	443
ENSG00000010244	8334	4335	4633	9605	4553	6757
ENSG00000010256	5355	2562	2800	5522	2353	3836
ENSG00000010270	1355	686	775	1591	701	997
ENSG00000010278	567	273	315	491	193	300
ENSG00000010282	0	0	0	0	0	0
ENSG00000010292	6048	2930	3279	7666	3239	4687
ENSG00000010295	976	455	486	434	194	250
ENSG00000010310	136	75	69	610	281	332
ENSG00000010318	739	321	369	366	164	231
ENSG00000010319	291	131	148	81	42	58
ENSG00000010322	3599	1711	1962	4546	1984	2692
ENSG00000010327	6	1	3	10	5	5
ENSG00000010361	1128	543	619	941	436	686
ENSG00000010379	2	2	1	12	5	10
ENSG00000010404	2130	1009	1209	2251	989	1525
ENSG00000010438	0	0	0	0	0	0
ENSG00000010539	504	235	269	481	221	301
ENSG00000010610	31	20	32	20	13	18
ENSG00000010626	224	110	140	230	98	147
ENSG00000010671	5	2	6	4	1	1
ENSG00000010704	2	0	0	4	1	1
ENSG00000010803	2370	1054	1188	2222	971	1403
ENSG00000010810	2217	1100	1252	2935	1228	1848
ENSG00000010818	559	277	343	943	441	731
ENSG00000010932	0	0	0	0	0	0
ENSG00000011007	1992	1028	1161	1723	721	1011
ENSG00000011009	2103	893	1065	2703	1117	1778
ENSG00000011021	970	490	483	834	380	463
ENSG00000011028	1217	536	659	3066	1171	1759
ENSG00000011052	441	263	207	632	100	257
ENSG00000011083	0	0	0	0	0	0
ENSG00000011105	122	56	73	189	73	132
ENSG00000011114	758	418	453	733	326	484
ENSG00000011132	766	366	352	1335	539	927
ENSG00000011143	815	389	436	730	288	421
ENSG00000011198	419	176	233	419	175	248
ENSG00000011201	0	0	1	0	0	0
ENSG00000011243	2341	1151	1282	3045	1250	1720
ENSG00000011258	1100	502	619	932	385	556
ENSG00000011260	2447	1163	1413	2493	984	1377
ENSG00000011275	3359	1623	1847	3493	1439	2053
ENSG00000011295	2210	1080	1264	2143	883	1247
ENSG00000011304	18305	8772	9607	22018	9732	15120
ENSG00000011332	480	208	240	923	377	532
ENSG00000011347	193	107	107	212	94	139
ENSG00000011376	1951	938	1032	1591	691	991
ENSG00000011405	859	429	543	1101	477	658
ENSG00000011422	231	130	136	652	266	409
ENSG00000011426	2006	1028	1187	1692	722	1081
ENSG00000011451	2693	1122	1347	2755	1223	1816
ENSG00000011454	1733	877	881	1677	685	1009
ENSG00000011465	1	1	0	0	0	0
ENSG00000011478	431	166	201	314	141	226
ENSG00000011485	3983	2018	2178	3896	1678	2679
ENSG00000011523	479	258	304	203	110	165
ENSG00000011566	166	94	116	204	86	136
ENSG00000011590	10	2	3	6	2	3
ENSG00000011600	0	1	0	1	0	0
ENSG00000011638	326	149	169	287	142	175
ENSG00000011677	1	0	0	0	0	0
ENSG00000012048	2545	1239	1470	2450	938	1404
ENSG00000012061	1902	869	996	1968	899	1265
ENSG00000012124	0	0	0	0	0	0
ENSG00000012171	25	9	4	29	12	11
ENSG00000012174	385	193	262	359	177	267
ENSG00000012211	267	110	124	250	122	147
ENSG00000012223	2	0	0	3	2	3
ENSG00000012232	1228	593	692	1268	567	831
ENSG00000012504	0	0	0	0	0	1
ENSG00000012660	9549	4876	5731	8968	4034	5593
ENSG00000012779	37	13	17	22	12	9
ENSG00000012817	1119	525	555	1340	544	800
ENSG00000012822	698	335	359	720	317	440
ENSG00000012963	3333	1643	1867	3553	1547	2133
ENSG00000012983	629	322	382	566	234	353
ENSG00000013016	103	38	65	71	23	50
ENSG00000013275	4824	2332	2538	6514	2775	4069
ENSG00000013288	1899	851	938	1793	754	1200
ENSG00000013293	0	0	0	0	0	0
ENSG00000013297	2	1	0	5	0	1
ENSG00000013306	4205	1973	2127	3693	1560	2423
ENSG00000013364	166	79	118	138	46	102
ENSG00000013374	1558	751	904	1787	759	1211
ENSG00000013375	552	315	343	586	253	340
ENSG00000013392	148	99	111	120	36	68
ENSG00000013441	1540	794	997	2537	1042	1430
ENSG00000013503	768	401	408	689	317	417
ENSG00000013523	1329	628	657	1005	428	605
ENSG00000013561	1152	572	618	1197	502	771
ENSG00000013563	187	72	100	133	68	96
ENSG00000013573	4373	2078	2347	4386	1840	2643
ENSG00000013583	381	174	211	275	147	213
ENSG00000013588	0	0	2	3	0	2
ENSG00000013619	175	82	88	177	57	105
ENSG00000013725	1231	554	703	1729	715	1372
ENSG00000013810	6924	3271	3733	5554	2308	3236
ENSG00000014123	1015	524	562	1034	425	616
ENSG00000014138	2509	1155	1277	2465	1017	1520
ENSG00000014164	947	451	480	673	289	435
ENSG00000014216	3403	1648	1794	3126	1419	2125
ENSG00000014257	5	1	3	5	1	2
ENSG00000014641	4718	2339	2685	4815	2109	2954
ENSG00000014824	1545	797	910	1605	654	975
ENSG00000014914	4	1	7	18	12	14
ENSG00000014919	1556	785	849	1243	551	715
ENSG00000015133	6075	2904	3184	4907	2102	3026
ENSG00000015153	227	151	148	356	186	246
ENSG00000015171	1510	791	958	1258	636	891
ENSG00000015285	2731	1403	1460	2863	1229	1963
ENSG00000015413	2	0	0	3	0	1
ENSG00000015475	3952	1935	2088	3973	1614	2695
ENSG00000015479	8813	5281	6039	8198	4015	5401
ENSG00000015520	4	5	2	5	0	1
ENSG00000015532	619	306	323	325	127	190
ENSG00000015568	201	127	110	179	2	26
ENSG00000015592	1	0	1	2	0	1
ENSG00000015676	1744	833	959	1375	598	867
ENSG00000016082	0	1	0	0	0	0
ENSG00000016391	0	2	1	4	2	1
ENSG00000016402	0	0	0	0	0	0
ENSG00000016490	0	1	1	2	0	0
ENSG00000016602	0	0	1	0	0	0
ENSG00000016864	1143	531	611	806	337	449
ENSG00000017260	2492	1184	1437	4299	1762	2698
ENSG00000017427	1	0	0	1	0	1
ENSG00000017483	1340	600	637	1270	508	733
ENSG00000017797	2826	1419	1610	2584	1158	1730
ENSG00000018189	641	345	334	610	241	364
ENSG00000018236	1	0	0	0	0	0
ENSG00000018280	17	12	16	27	4	12
ENSG00000018408	10	5	5	10	4	9
ENSG00000018510	2198	1177	1335	1929	818	1236
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	987	414	478	939	417	617
ENSG00000018625	0	0	0	1	0	0
ENSG00000018699	655	282	351	832	360	450
ENSG00000018869	1	0	1	2	0	2
ENSG00000019102	12	7	5	14	8	12
ENSG00000019144	100	60	51	2881	1252	1743
ENSG00000019169	0	3	2	3	1	1
ENSG00000019186	3	0	1	0	0	0
ENSG00000019485	368	155	173	268	107	188
ENSG00000019505	7	4	4	7	1	4
ENSG00000019549	1	2	1	6	3	7
ENSG00000019582	3	3	2	9	2	3
ENSG00000019991	0	0	0	0	0	0
ENSG00000019995	850	444	484	855	398	511
ENSG00000020129	1060	459	522	1123	498	756
ENSG00000020181	446	199	228	257	100	224
ENSG00000020219	0	1	0	3	0	0
ENSG00000020256	918	443	456	586	298	512
ENSG00000020426	748	377	396	843	334	504
ENSG00000020577	27	16	16	60	27	31
ENSG00000020633	2003	882	1091	8946	3977	7598
ENSG00000020922	1190	571	756	1469	555	722
ENSG00000021300	451	207	236	434	175	258
ENSG00000021355	3	0	1	3	0	0
ENSG00000021461	2	0	0	1	0	0
ENSG00000021488	2	1	1	2	0	3
ENSG00000021574	449	223	277	375	151	236
ENSG00000021645	2	2	1	4	1	1
ENSG00000021762	640	293	315	434	189	306
ENSG00000021776	3102	1588	1751	3317	1444	1996
ENSG00000021826	40	15	20	26	7	18
ENSG00000021852	0	0	0	0	0	0
ENSG00000022267	842	423	499	707	331	471
ENSG00000022277	2772	1355	1559	3318	1379	1977
ENSG00000022355	0	0	0	0	0	0
ENSG00000022556	0	0	0	0	0	0
ENSG00000022567	666	299	332	493	201	334
ENSG00000022840	4659	2165	2350	5153	2209	3258
ENSG00000022976	730	329	384	758	297	436
ENSG00000023041	1469	737	852	1740	702	1007
ENSG00000023171	382	163	181	425	166	273
ENSG00000023191	3237	1569	1725	3113	1308	2177
ENSG00000023228	2992	1561	1674	2996	1265	1839
ENSG00000023287	980	593	589	1242	547	766
ENSG00000023318	1122	590	651	1278	589	830
ENSG00000023330	2140	1078	1117	4064	1728	2729
ENSG00000023445	278	141	169	4775	1819	3272
ENSG00000023516	1039	517	642	1080	420	672
ENSG00000023572	149	71	90	112	45	65
ENSG00000023608	531	273	331	474	191	308
ENSG00000023697	486	287	274	476	209	295
ENSG00000023734	4560	2377	2492	5302	2290	3167
ENSG00000023839	69	28	34	78	32	52
ENSG00000023892	4145	1857	2076	4904	1846	2917
ENSG00000023902	3583	1704	1943	3513	1412	2100
ENSG00000023909	1399	710	779	2490	1030	1396
ENSG00000024048	1522	795	860	1747	766	1012
ENSG00000024422	50	19	14	30	15	35
ENSG00000024526	623	380	407	551	249	375
ENSG00000024862	355	177	183	415	178	245
ENSG00000025039	946	461	570	978	406	567
ENSG00000025156	829	395	467	719	334	393
ENSG00000025293	1358	667	826	959	428	580
ENSG00000025423	82	25	24	57	24	27
ENSG00000025434	187	84	80	175	70	122
ENSG00000025708	38	14	16	35	12	23
ENSG00000025770	3522	1622	1774	4270	1779	2665
ENSG00000025772	1610	727	815	1933	808	1179
ENSG00000025796	2896	1521	1679	3182	1375	1929
ENSG00000025800	3075	1449	1596	3141	1223	1843
ENSG00000026025	18093	8637	11079	23203	9518	16200
ENSG00000026036	1129	543	574	1543	610	844
ENSG00000026103	412	219	215	501	238	370
ENSG00000026297	436	204	205	372	154	208
ENSG00000026508	0	1	0	12	2	8
ENSG00000026559	30	13	13	41	8	35
ENSG00000026652	229	113	127	302	105	174
ENSG00000026751	3	1	2	5	2	2
ENSG00000026950	633	302	338	407	156	200
ENSG00000027001	528	259	282	529	220	306
ENSG00000027075	1016	552	633	741	315	470
ENSG00000027644	5	2	3	15	2	5
ENSG00000027697	612	322	335	792	362	472
ENSG00000027847	500	229	269	342	157	215
ENSG00000027869	228	102	117	548	202	424
ENSG00000028116	694	388	402	833	324	461
ENSG00000028137	2	0	1	2	2	8
ENSG00000028203	1623	814	811	1541	692	904
ENSG00000028277	187	73	99	320	136	253
ENSG00000028310	6796	3122	3666	7259	2934	4037
ENSG00000028528	3544	1681	2017	3940	1734	2349
ENSG00000028839	535	312	334	902	382	553
ENSG00000029153	765	396	475	769	343	457
ENSG00000029363	7172	3898	4421	8260	3816	4871
ENSG00000029364	3172	1627	1702	3860	1609	2449
ENSG00000029534	3	3	1	4	0	3
ENSG00000029559	0	0	0	0	0	0
ENSG00000029639	403	172	197	309	147	190
ENSG00000029725	2957	1330	1692	2946	1285	1717
ENSG00000029993	2499	1321	1474	2094	948	1331
ENSG00000030066	4505	2267	2585	4971	2179	2924
ENSG00000030110	1156	594	642	1173	473	801
ENSG00000030304	0	0	0	0	0	0
ENSG00000030419	1165	648	804	339	135	214
ENSG00000030582	1893	925	1002	1964	890	1299
ENSG00000031003	1943	1024	1181	2037	915	1274
ENSG00000031081	84	44	63	706	267	551
ENSG00000031691	310	178	196	374	181	240
ENSG00000031698	5061	2477	2658	6289	2744	3642
ENSG00000031823	2990	1414	1528	2815	1210	1824
ENSG00000032219	811	441	449	773	296	381
ENSG00000032389	1705	836	889	1622	725	959
ENSG00000032444	1719	700	878	1454	640	1087
ENSG00000032742	385	180	250	609	247	371
ENSG00000033011	1512	721	879	1298	565	831
ENSG00000033030	1478	780	804	1644	689	858
ENSG00000033050	5484	2619	2874	5460	2281	3468
ENSG00000033100	1714	752	854	4173	1761	2585
ENSG00000033122	3	1	2	5	4	2
ENSG00000033170	765	353	452	677	278	418
ENSG00000033178	1326	680	861	1568	724	946
ENSG00000033327	169	82	81	178	75	114
ENSG00000033627	1108	548	591	1484	607	867
ENSG00000033800	1425	717	793	1715	748	1092
ENSG00000033867	481	215	304	557	193	329
ENSG00000034053	1279	640	674	1109	522	778
ENSG00000034152	1796	849	934	3167	1340	2206
ENSG00000034239	0	0	0	0	0	0
ENSG00000034510	7543	3547	4458	8457	3441	5918
ENSG00000034533	419	169	188	301	132	199
ENSG00000034677	539	263	286	1530	721	966
ENSG00000034693	602	280	298	561	223	363
ENSG00000034713	1325	646	779	1539	662	947
ENSG00000034971	0	0	0	0	0	0
ENSG00000035115	875	400	510	721	331	385
ENSG00000035141	4632	2137	2471	4080	1607	2329
ENSG00000035403	767	378	461	726	324	495
ENSG00000035499	1339	601	794	1456	575	954
ENSG00000035664	10	2	3	1	0	1
ENSG00000035681	2459	1184	1409	2660	1112	1652
ENSG00000035687	2054	1017	1126	1685	709	927
ENSG00000035720	2	1	3	6	4	3
ENSG00000035862	2070	1057	1196	1455	685	1078
ENSG00000035928	3792	1984	2225	4101	1773	2457
ENSG00000036054	553	273	293	609	287	338
ENSG00000036257	2934	1603	1755	4208	1799	2476
ENSG00000036448	52	24	24	40	18	40
ENSG00000036473	0	0	0	0	0	0
ENSG00000036530	38	18	19	24	7	13
ENSG00000036549	1599	840	932	1586	664	981
ENSG00000036565	0	0	0	0	0	0
ENSG00000036672	412	212	190	269	118	190
ENSG00000036828	0	0	0	1	1	0
ENSG00000037042	776	376	359	682	273	400
ENSG00000037241	1224	542	654	1175	527	722
ENSG00000037280	916	432	484	658	331	487
ENSG00000037474	10156	4818	5471	10751	4581	6627
ENSG00000037637	1142	527	588	770	329	547
ENSG00000037749	558	317	321	698	310	460
ENSG00000037757	628	286	314	452	217	287
ENSG00000037897	860	416	488	813	350	505
ENSG00000037965	42	19	23	41	19	19
ENSG00000038002	241	148	145	235	139	151
ENSG00000038210	603	373	435	403	145	326
ENSG00000038219	2376	1167	1381	2631	1086	1567
ENSG00000038274	1541	779	909	1445	613	1024
ENSG00000038295	46	24	33	23	13	17
ENSG00000038358	5628	2656	2956	7248	3053	4788
ENSG00000038382	1929	907	1122	1951	865	1196
ENSG00000038427	48	19	18	24	10	16
ENSG00000038532	783	331	416	834	354	517
ENSG00000038945	0	0	1	0	0	0
ENSG00000039068	0	0	1	1	0	1
ENSG00000039123	3264	1626	1838	3421	1473	1839
ENSG00000039139	0	0	0	0	0	0
ENSG00000039319	616	276	332	695	269	345
ENSG00000039523	1960	909	916	1160	538	782
ENSG00000039537	0	0	0	0	0	0
ENSG00000039560	638	342	365	699	296	448
ENSG00000039600	1	0	0	1	0	0
ENSG00000039650	1458	676	761	1769	776	1084
ENSG00000039987	4	1	0	0	1	1
ENSG00000040199	669	338	371	842	329	522
ENSG00000040275	1856	863	1087	1719	780	1085
ENSG00000040341	1329	688	831	1128	491	759
ENSG00000040487	183	68	89	131	48	69
ENSG00000040531	719	296	370	603	235	362
ENSG00000040608	430	160	200	232	106	163
ENSG00000040633	1344	617	714	1138	453	728
ENSG00000040731	0	0	0	0	0	0
ENSG00000040933	2801	1366	1563	1579	808	1154
ENSG00000041353	18	12	6	13	2	7
ENSG00000041357	6289	3155	3548	7290	2968	3837
ENSG00000041515	0	0	1	1	0	1
ENSG00000041802	2898	1346	1622	2978	1225	1773
ENSG00000041880	552	284	284	439	174	273
ENSG00000041982	8	1	0	15	8	7
ENSG00000041988	554	277	252	334	145	233
ENSG00000042062	2	1	0	1	2	2
ENSG00000042088	1590	754	902	1369	581	924
ENSG00000042286	82	35	32	71	25	27
ENSG00000042304	0	0	0	0	0	0
ENSG00000042317	158	69	80	151	55	70
ENSG00000042429	933	437	537	1164	486	665
ENSG00000042445	1115	553	556	931	407	595
ENSG00000042493	2636	1228	1503	2404	1024	1785
ENSG00000042753	2130	986	1121	2214	953	1461
ENSG00000042781	0	0	1	2	0	1
ENSG00000042813	0	0	0	0	0	0
ENSG00000042832	7	3	4	16	5	8
ENSG00000042980	3	0	1	4	3	5
ENSG00000043039	40	22	20	33	13	25
ENSG00000043093	1035	638	689	1021	494	678
ENSG00000043143	1500	696	812	1461	655	1038
ENSG00000043355	150	79	76	125	63	50
ENSG00000043462	3149	1537	1946	9819	4213	7167
ENSG00000043514	1422	737	883	1708	617	882
ENSG00000043591	50	24	20	34	18	17
ENSG00000044012	0	0	0	0	0	0
ENSG00000044090	953	454	460	979	387	537
ENSG00000044115	2610	1339	1488	3873	1583	2418
ENSG00000044446	981	433	498	992	423	581
ENSG00000044459	188	106	137	204	77	103
ENSG00000044524	349	186	224	236	84	140
ENSG00000044574	8074	4108	4275	10204	4265	5392
ENSG00000046604	1876	963	1101	1911	828	1272
ENSG00000046647	274	152	156	275	124	184
ENSG00000046651	372	163	214	591	224	301
ENSG00000046653	154	91	79	123	53	90
ENSG00000046774	0	0	0	0	0	0
ENSG00000046889	597	283	379	670	281	432
ENSG00000047056	606	287	360	537	248	364
ENSG00000047188	1445	703	843	1332	554	784
